fl_iter,main_task_acc,backdoor_acc,raw_task_acc,adv_norm_diff,wg_norm
1,77.53,11.224489795918368,94.5,0.0,37.29024124145508
2,77.53,11.224489795918368,94.5,0.0,37.29023742675781
3,77.53,11.224489795918368,94.5,0.0,37.29023742675781
4,77.53,11.224489795918368,94.5,0.0,37.29023742675781
5,77.53,11.224489795918368,94.5,0.0,37.29023742675781
6,77.53,11.224489795918368,94.5,0.0,37.29023742675781
7,77.53,11.224489795918368,94.5,0.0,37.29023742675781
8,77.53,11.224489795918368,94.5,0.0,37.29023742675781
